1 30
0 81 132 62 70 110 75 47 53 29 54 99 80 61 55 88 50 41 64 71 104 58 8 65 112 57 60 142 63 63
81 0 107 127 116 118 156 61 86 104 82 118 25 22 97 151 88 80 113 107 121 80 88 26 141 85 22 183 68 111
132 107 0 125 97 49 179 85 86 131 82 62 81 101 92 134 90 94 100 85 61 77 140 89 82 81 115 122 69 99
62 127 125 0 29 84 55 68 47 33 52 69 114 105 36 26 43 47 25 40 72 57 62 103 68 51 111 85 71 26
70 116 97 29 0 55 84 55 30 49 35 40 99 95 20 39 28 38 6 13 43 38 74 91 43 31 105 72 52 7
110 118 49 84 55 0 139 70 56 98 56 15 93 103 57 88 59 68 59 45 13 53 116 94 33 52 117 75 55 58
75 156 179 55 84 139 0 108 94 54 99 124 151 134 87 62 90 89 80 95 127 104 69 137 121 99 135 128 117 81
47 61 85 68 55 70 108 0 25 54 21 64 46 40 35 90 27 20 51 47 68 20 55 35 84 25 51 124 16 49
53 86 86 47 30 56 94 25 0 45 5 46 69 65 10 66 4 12 26 22 50 10 59 61 62 5 76 99 24 24
29 104 131 33 49 98 54 54 45 0 49 85 97 82 41 59 41 37 43 54 89 54 28 83 92 50 85 117 65 42
54 82 82 52 35 56 99 21 5 49 0 47 64 61 16 72 9 13 32 26 51 5 60 56 64 4 72 103 19 30
99 118 62 69 40 15 124 64 46 85 47 0 95 101 45 73 48 58 45 31 4 45 105 92 24 43 114 68 51 44
80 25 81 114 99 93 151 46 69 97 64 95 0 24 80 136 72 66 96 88 98 61 88 15 118 67 36 161 47 94
61 22 101 105 95 103 134 40 65 82 61 101 24 0 75 129 67 58 91 87 105 60 68 11 122 65 14 164 49 89
55 97 92 36 20 57 87 35 10 41 16 45 80 75 0 56 8 18 16 15 49 20 60 71 57 14 85 91 35 13
88 151 134 26 39 88 62 90 66 59 72 73 136 129 56 0 63 70 40 52 75 76 87 126 63 69 136 66 91 42
50 88 90 43 28 59 90 27 4 41 9 48 72 67 8 63 0 10 24 22 53 14 56 63 63 9 77 99 28 22
41 80 94 47 38 68 89 20 12 37 13 58 66 58 18 70 10 0 33 32 62 17 47 55 73 15 67 109 27 31
64 113 100 25 6 59 80 51 26 43 32 45 96 91 16 40 24 33 0 15 48 35 67 87 49 29 100 78 50 2
71 107 85 40 13 45 95 47 22 54 26 31 88 87 15 52 22 32 15 0 35 27 75 81 41 22 98 77 41 14
104 121 61 72 43 13 127 68 50 89 51 4 98 105 49 75 53 62 48 35 0 49 109 96 22 47 118 66 55 48
58 80 77 57 38 53 104 20 10 54 5 45 61 60 20 76 14 17 35 27 49 0 64 53 64 6 71 104 14 33
